type,title,date_added,release_year,rating,description
Movie,Rhyme & Reason,01-Sep-21,1997,R,"The world and culture of rap song topics such as race, violence, police, family and sex are examined by hip-hop performers from both coasts."
Movie,Same Kind of Different as Me,01-Sep-21,2017,PG-13,A wealthy couple whose marriage is on the rocks befriends a local homeless man who changes their perspectives in this inspiring true story.
Movie,School of Rock,01-Sep-21,2003,PG-13,"Musician Dewey Finn gets a job as a fourth-grade substitute teacher, where he secretly begins teaching his students the finer points of rock 'n' roll."
Movie,Snervous Tyler Oakley,01-Sep-21,2015,PG-13,"The inspiring Internet star and LGBT advocate shares an intimate view of his life and relationships during his international ""Slumber Party"" tour."
Movie,Tears of the Sun,01-Sep-21,2003,R,"A Navy SEAL is sent to a war-torn African jungle to rescue a doctor, only to realize he must also save the refugees in the physician's care."
Movie,The Blue Lagoon,01-Sep-21,1980,R,"Two shipwrecked children, stranded for years on a deserted island, fall in love as teenagers and attempt to forge a life in the isolated paradise."
Movie,The Golden Child,01-Sep-21,1986,PG-13,A fast-talking L.A. social worker goes through a series of traps and terrors to find a kidnapped Tibetan child with mystical powers.
Movie,The Guns of Navarone,01-Sep-21,1961,TV-14,"During World War II, British forces launch an attack designed to take out the massive Nazi cannons that guard a critical sea channel."
Movie,The Interview,01-Sep-21,2014,R,Seth Rogen and James Franco star in this provocative comedy about two journalists recruited by the CIA after they arrange an interview with Kim Jong-un.
Movie,The Nutty Professor,01-Sep-21,1996,PG-13,"After being made fun of for his weight, a kind and brainy professor takes a dose of a revolutionary formula that changes more than just his appearance."
Movie,The Nutty Professor II: The Klumps,01-Sep-21,2000,PG-13,"After getting engaged, Sherman Klump prepares for his big day. But his sinister alter ego Buddy Love threatens to ruin his wedding and reputation."
TV Show,Turning Point: 9/11 and the War on Terror,01-Sep-21,2021,TV-14,"This unflinching series documents the 9/11 terrorist attacks, from Al Qaeda's roots in the 1980s to America's response, both at home and abroad."
Movie,Welcome Home Roscoe Jenkins,01-Sep-21,2008,PG-13,"R.J. travels to Georgia for his parents' 50th anniversary. But after pompously flaunting his Hollywood lifestyle, he must examine what he's become."
Movie,In the Line of Fire,31-Aug-21,1993,R,A twisted yet ingenious killer torments a veteran Secret Service agent who's haunted by his failure years ago to save President John F. Kennedy.
TV Show,Sparking Joy,31-Aug-21,2021,TV-PG,"In this reality series, Marie Kondo brings her joyful tidying tactics to people struggling to balance work and home life — and shares her own world."
Movie,Untold: Crime & Penalties,31-Aug-21,2021,TV-MA,"They were the bad boys of hockey — a team bought by a man with mob ties, run by his 17-year-old son, and with a rep for being as violent as they were good."
TV Show,Hometown Cha-Cha-Cha,29-Aug-21,2021,TV-14,"A big-city dentist opens up a practice in a close-knit seaside village, home to a charming jack-of-all-trades who is her polar opposite in every way."
TV Show,The Ingenuity of the Househusband,29-Aug-21,2021,TV-G,A tough guy with a knack for housework tackles household tasks with meticulous care in these comedic live-action vignettes.
Movie,2 Alone in Paris,28-Aug-21,2008,TV-MA,"A bumbling Paris policeman is doggedly determined to capture the master thief that repeatedly eludes him, even when they're the last two men on Earth."
TV Show,Bread Barbershop,28-Aug-21,2020,TV-Y,"In a town filled with food, Bread is a master cake decorator who gives life-changing makeovers that will put any customer in an amazing mood."
Movie,Thimmarusu,28-Aug-21,2021,TV-14,"Eight years after a young man is framed for murder, an up-and-coming lawyer re-opens the case, beginning a tricky mission to find the real culprit."
Movie,Wind River,28-Aug-21,2017,R,A tracker with the U.S. Fish and Wildlife Service assists a rookie FBI agent who's investigating a teen girl's murder on a remote Wyoming reservation.
Movie,C Kkompany,27-Aug-21,2008,TV-14,"Three broke friends pose as an underworld gang for extortion, but their plan takes on a life of its own when their phony company becomes famous."
TV Show,D.P.,27-Aug-21,2021,TV-MA,A young private’s assignment to capture army deserters reveals the painful reality endured by each enlistee during his compulsory call of duty.
TV Show,Deadly Sins,27-Aug-21,2002,TV-MA,A multimillionaire fakes his death and forces his relatives to live together in his mansion for one year to see who's worthy of inheriting his fortune.
Movie,EMI: Liya Hai To Chukana Padega,27-Aug-21,2008,TV-14,A bank hires an enigmatic and unorthodox debt collector to recover money from four borrowers who are unable to pay their loans.
Movie,He's All That,27-Aug-21,2021,TV-14,"An influencer specializing in makeovers bets she can transform an unpopular classmate into prom king in this remake of the teen classic ""She's All That."""
TV Show,I Heart Arlo,27-Aug-21,2021,TV-Y7,It's a whole new world for Arlo and his one-of-a kind pals when they set out to restore a run-down New York City neighborhood — and make it their own.
TV Show,King of Boys: The Return of the King,27-Aug-21,2021,TV-MA,"Alhaja Eniola Salami starts anew and sets her sights on a different position of power, fueled by revenge, regret and ruthlessness."
Movie,Koi Aap Sa,27-Aug-21,2006,TV-14,"Star athlete Rohan has his eye on a beautiful art student. But when his best friend Simran experiences a crisis, he drops everything to help her."
Movie,Krishna Cottage,27-Aug-21,2004,TV-14,True love is put to the test when another woman comes between a pair of star-crossed young lovers in this thriller.
Movie,Kucch To Hai,27-Aug-21,2003,TV-14,"A student tries to steal a test from a teacher's home, leaving him for dead after an accident. A string of murders may be the professor's revenge."
Movie,Kyaa Kool Hai Hum,27-Aug-21,2005,TV-MA,"Longtime friends Rahul and Karan head to Mumbai intent on making their dreams come true, but both men are suddenly saddled with bad luck."
Movie,Kyaa Kool Hain Hum 3,27-Aug-21,2016,TV-MA,"When an unlikely porn actor falls for a woman outside the industry, he employs his co-stars as a stand-in traditional family to impress her father."
Movie,Kyaa Super Kool Hain Hum,27-Aug-21,2012,TV-MA,An aspiring actor and a struggling DJ team up to pursue the ladies they love and a diamond that rightfully belongs to their oversexed dog.
Movie,Kyo Kii... Main Jhuth Nahin Bolta,27-Aug-21,2001,TV-14,The life and career of a lawyer are thrown into chaos when his son's wish magically renders him incapable of telling a lie.
Movie,"LSD: Love, Sex Aur Dhokha",27-Aug-21,2010,TV-MA,This provocative drama examines how the voyeuristic nature of modern society affects three unusual couples in Northern India.
Movie,Mission Istaanbul: Darr Ke Aagey Jeet Hai,27-Aug-21,2008,TV-14,A television journalist makes a risky career move by accepting a job offer from a controversial Istanbul television station.
Movie,Once Upon a Time in Mumbaai,27-Aug-21,2010,TV-14,"Mumbai's top mob boss rules the underworld with honor and compassion, but his power-hungry protégé will shake up the world of organized crime."
Movie,Once Upon a Time in Mumbai Dobaara!,27-Aug-21,2013,TV-14,"This turbulent sequel to Once Upon a Time in Mumbai carries on the saga of the gangland don Shoaib Khan, who continues pressing for more control."
Movie,Ragini MMS,27-Aug-21,2011,TV-MA,A couple out to have a sensuous weekend at a house outside of Mumbai finds it rigged with surveillance cameras and occupied by an evil entity.
Movie,Ragini MMS 2,27-Aug-21,2014,TV-MA,The horror continues when Ragini's video goes viral and a sleazy director decides to make a movie about the incident in the original house.
TV Show,Rebellion,27-Aug-21,2016,TV-MA,"As World War I rages, three women and their families in Dublin choose sides in the violent Easter Rising revolt against British rule."
TV Show,RIDE ON TIME,27-Aug-21,2021,TV-PG,Take a deep dive into the beautiful world of Japan's top male idol groups from number one producer Johnny's in this revealing docuseries.
Movie,SAS: Rise of the Black Swan,27-Aug-21,2021,R,"A special forces operative traveling from London to Paris with his girlfriend takes action when armed, ruthless mercenaries seize control of their train."
Movie,Shootout at Lokhandwala,27-Aug-21,2007,TV-MA,"Based on a true story, this action film follows an incident that stunned a nation in the early 1990s. In Mumbai, India, the notorious gangster Maya holds off veteran cop Khan and a force of more than 200 policemen in a six-hour bloody gunfight."
Movie,Shor In the City,27-Aug-21,2011,TV-14,"When three small-time Mumbai crooks steal a bag on a train, they find that it's filled with weapons and realize that their lives may be in danger."
Movie,The Dirty Picture,27-Aug-21,2011,TV-14,"After running away from home in search of movie stardom, a village girl rises to become a prominent sex symbol."
TV Show,Titletown High,27-Aug-21,2021,TV-14,"In a Georgia town where football rules and winning is paramount, a high school team tackles romance, rivalries and real life while vying for a title."
TV Show,EDENS ZERO,26-Aug-21,2021,TV-14,"Aboard the Edens Zero, a lonely boy with the ability to control gravity embarks on an adventure to meet the fabled space goddess known as Mother."
TV Show,Family Reunion,26-Aug-21,2021,TV-PG,"When the McKellan family moves from Seattle to small-town Georgia, life down South – and traditional grandparents – challenge their big-city ways."
Movie,"Bob Ross: Happy Accidents, Betrayal & Greed",25-Aug-21,2021,TV-14,Bob Ross brought joy to millions as the world’s most famous art instructor. But a battle for his business empire cast a shadow over his happy trees.
TV Show,Clickbait,25-Aug-21,2021,TV-MA,"When family man Nick Brewer is abducted in a crime with a sinister online twist, those closest to him race to uncover who is behind it and why."
TV Show,John of God: The Crimes of a Spiritual Healer,25-Aug-21,2021,TV-MA,"Idolized medium João Teixeira de Faria rises to international fame before horrifying abuse is revealed by survivors, prosecutors and the press."
TV Show,Motel Makeover,25-Aug-21,2021,TV-14,"Amid project pitfalls and a pandemic, besties-turned-business partners bring their design magic to a rundown motel and revamp it into a go-to getaway."
TV Show,Open Your Eyes,25-Aug-21,2021,TV-MA,"After a tragic accident, an amnesiac teen tries to rebuild her life at a memory disorders center but becomes suspicious of her unconventional treatment."
TV Show,Post Mortem: No One Dies in Skarnes,25-Aug-21,2021,TV-MA,"She's back from the dead and has a newfound thirst for blood. Meanwhile, her family's funeral parlor desperately needs more business. Hmm, what if..."
Movie,Really Love,25-Aug-21,2020,TV-MA,A rising Black painter tries to break into a competitive art world while balancing an unexpected romance with an ambitious law student.
Movie,The November Man,25-Aug-21,2014,R,"An ex-CIA agent emerges from retirement to protect an important witness, but he soon discovers that old friends can make the most dangerous enemies."
Movie,The Old Ways,25-Aug-21,2020,TV-MA,"A reporter visits her birthplace in Veracruz for a story about tribal culture, only to be kidnapped by locals who believe she's demonically possessed."
